,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,ITUB3.SA,PETR4.SA,VALE3.SA,ITUB3.SA,PETR4.SA,VALE3.SA,ITUB3.SA,PETR4.SA,VALE3.SA,ITUB3.SA,PETR4.SA,VALE3.SA,ITUB3.SA,PETR4.SA,VALE3.SA,ITUB3.SA,PETR4.SA,VALE3.SA
Date,,,,,,,,,,,,,,,,,,
2021-01-04,24.79143524169922,13.732213020324707,69.41304779052734,27.450000762939453,28.90999984741211,91.45999908447266,28.309999465942383,29.18000030517578,91.4800033569336,27.280000686645508,28.530000686645508,88.8499984741211,28.239999771118164,28.649999618530273,89.3499984741211,416100,74719700,37865500
2021-01-05,24.728212356567383,14.268963813781738,70.58182525634766,27.3799991607666,30.040000915527344,93.0,27.6200008392334,30.18000030517578,93.0,26.760000228881836,28.239999771118164,90.5199966430664,27.450000762939453,28.899999618530273,91.45999908447266,553000,95181100,34300300
2021-01-06,25.288164138793945,14.297463417053223,72.89659881591797,28.0,30.100000381469727,96.05000305175781,28.200000762939453,30.899999618530273,96.3499984741211,27.290000915527344,30.049999237060547,94.4000015258789,27.40999984741211,30.15999984741211,94.9800033569336,938400,96562500,53722500
2021-01-07,26.100997924804688,14.724961280822754,77.6551742553711,28.899999618530273,31.0,102.31999969482422,29.1299991607666,31.149999618530273,102.52999877929688,27.850000381469727,30.34000015258789,96.61000061035156,28.0,30.34000015258789,96.61000061035156,931900,56171300,74541400
2021-01-08,26.18227767944336,14.781960487365723,77.41231536865234,28.989999771118164,31.1200008392334,102.0,29.3799991607666,31.760000228881836,103.3499984741211,28.549999237060547,30.350000381469727,98.19999694824219,29.049999237060547,31.459999084472656,103.01000213623047,737300,67136300,58562700
2021-01-11,25.667482376098633,14.658461570739746,77.39714813232422,28.420000076293945,30.860000610351562,101.9800033569336,28.850000381469727,31.059999465942383,101.9800033569336,28.1299991607666,30.399999618530273,99.69999694824219,28.75,30.610000610351562,100.25,417800,48744700,29267000
2021-01-12,25.766828536987305,14.549210548400879,75.2796859741211,28.530000686645508,30.6299991607666,99.19000244140625,28.670000076293945,31.559999465942383,102.62000274658203,28.389999389648438,30.6299991607666,99.18000030517578,28.5,31.1200008392334,102.5,284500,65691900,28598500
2021-01-13,25.378480911254883,13.846213340759277,73.02561950683594,28.100000381469727,29.149999618530273,96.22000122070312,28.649999618530273,30.860000610351562,98.91999816894531,27.719999313354492,29.0,95.73999786376953,28.5,30.68000030517578,98.87000274658203,547000,93826600,31658800
2021-01-14,25.92938804626465,13.9887113571167,74.2247543334961,28.709999084472656,29.450000762939453,97.80000305175781,28.899999618530273,29.670000076293945,98.86000061035156,28.020000457763672,28.719999313354492,96.69999694824219,28.260000228881836,29.170000076293945,97.22000122070312,413600,50745400,20809900
2021-01-15,25.188812255859375,13.356966018676758,70.99922943115234,27.889999389648438,28.1200008392334,93.55000305175781,28.459999084472656,29.079999923706055,97.19999694824219,27.790000915527344,28.030000686645508,93.19999694824219,28.280000686645508,29.049999237060547,96.58000183105469,444600,80673300,31712400
